Title,User_rating,Release_date,Tagline,Runtime,Genre,Certification,Cast,Budget,Revenue
Radical,76.0,"Oct 19, 2023",Think for yourself.,        2h 7m    ,['Drama'],        PG-13      ,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis', 'Danilo Guardiola Escobar', 'Gilberto Barraza', 'Víctor Estrada', 'Manuel Márquez', 'Christian Gonzalez']",10000000.0,19900000.0
Doctor Strange in the Multiverse of Madness,73.0,"May 04, 2022",Enter a new dimension of Strange.,        2h 6m    ,"['Fantasy', 'Action', 'Adventure']",        PG-13      ,"['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor', 'Benedict Wong', 'Xochitl Gomez', 'Jett Klyne', 'Julian Hilliard', 'Sheila Atim', 'Adam Hugill']",200000000.0,955775804.0
The Equalizer,72.63,"Sep 24, 2014",What do you see when you look at me?,        2h 12m    ,"['Thriller', 'Action', 'Crime']",        R      ,"['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz', 'David Harbour', 'Haley Bennett', 'Bill Pullman', 'Melissa Leo', 'David Meunier', 'Johnny Skourtis']",55000000.0,192330738.0
Thanksgiving,63.49,"Nov 16, 2023",There will be no leftovers.,        1h 46m    ,"['Horror', 'Thriller', 'Mystery']",        R      ,"['Patrick Dempsey', 'Nell Verlaque', 'Addison Rae', 'Jalen Thomas Brooks', 'Milo Manheim', 'Rick Hoffman', 'Gina Gershon', 'Tomaso Sanelli', 'Gabriel Davenport']",15000000.0,42300000.0
The Hunger Games: Catching Fire,74.25,"Nov 15, 2013",Every revolution begins with a spark.,        2h 26m    ,"['Adventure', 'Action', 'Science Fiction']",        PG-13      ,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Donald Sutherland', 'Lenny Kravitz', 'Philip Seymour Hoffman', 'Jeffrey Wright']",130000000.0,865011746.0
The Batman,77.0,"Mar 01, 2022",Unmask the truth.,        2h 57m    ,"['Crime', 'Mystery', 'Thriller']",        PG-13      ,"['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano', 'Jeffrey Wright', 'John Turturro', 'Peter Sarsgaard', 'Andy Serkis', 'Colin Farrell', 'Jayme Lawson']",185000000.0,771000000.0
"Ruby Gillman, Teenage Kraken",73.77,"Jun 28, 2023",Discover the hero just beneath the surface.,        1h 31m    ,"['Animation', 'Family', 'Fantasy', 'Comedy']",        PG      ,"['Lana Condor', 'Toni Collette', 'Annie Murphy', 'Sam Richardson', 'Liza Koshy', 'Will Forte', 'Colman Domingo', 'Jaboukie Young-White', 'Blue Chapman']",70000000.0,43700000.0
Harry Potter and the Chamber of Secrets,77.19,"Nov 13, 2002",Hogwarts is back in session.,        2h 41m    ,"['Adventure', 'Fantasy']",        PG      ,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Kenneth Branagh', 'Toby Jones', 'Robbie Coltrane', 'Richard Harris', 'Alan Rickman', 'Tom Felton']",100000000.0,876688482.0
Black Panther: Wakanda Forever,72.0,"Nov 09, 2022",Forever.,        2h 42m    ,"['Action', 'Adventure', 'Science Fiction']",        PG-13      ,"['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel']",250000000.0,859102154.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71.32,"Dec 07, 2005",Evil Has Reigned For 100 Years...,        2h 23m    ,"['Adventure', 'Family', 'Fantasy']",        PG      ,"['Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell', 'Tilda Swinton', 'James McAvoy', 'Jim Broadbent', 'Kiran Shah', 'James Cosmo']",180000000.0,745013115.0
Saltburn,71.15,"Nov 16, 2023",We're all about to lose our minds.,        2h 11m    ,"['Comedy', 'Drama', 'Thriller']",        R      ,"['Barry Keoghan', 'Jacob Elordi', 'Rosamund Pike', 'Richard E. Grant', 'Alison Oliver', 'Archie Madekwe', 'Carey Mulligan', 'Paul Rhys', 'Ewan Mitchell']",13000000.0,12100000.0
